device,param,param_value,short_command,command, processing_value
ZNLDP12LM,state,ON,"включать, включить, врубать, запускать,активировать",set,NULL
ZNLDP12LM,state,OFF,"выключать, выключить, вырубать, отключать, завершать",set,NULL
ZNLDP12LM,color_temp,coolest,"цветовой температура ледяной, цветовой температура морозный",set,NULL
ZNLDP12LM,color_temp,cool,"цветовой температура свежий, цветовой температура бодрящий",set,NULL
ZNLDP12LM,color_temp,neutral,"цветовой температура нейтральный, цветовой температура лояльный, цветовой температура спокойный",set,NULL
ZNLDP12LM,color_temp,warmest,"цветовой температура горячий, цветовой температура жгучий, цветовой температура жаркий, цветовой температура пылкий",set,NULL
ZNLDP12LM,power_outage_memory,ON,"запоминать состояние,сохранять состояние, записать состояние",set,NULL
ZNLDP12LM,power_outage_memory,OFF,"не запоминать состояние, не сохранять состояние, не записать состояние",set,NULL
TS0505B_1,state,ON,"включать, включить, врубать, запускать,активировать",set,NULL
TS0505B_1,state,OFF,"выключать, выключить, вырубать, отключать, завершать",set,NULL
TS0505B_1,state,color,"цвет",set,color
TS0505B_1,color_temp,coolest,"цвет холодный, цвет ледяной, цвет морозный, цветовой температура холодный, цветовой температура ледяной, цветовой температура морозный",set,NULL
TS0505B_1,color_temp,cool,"цвет прохладный, цвет прохладный, цвет свежий,цветовой температура прохладный, цветовой температура свежий, цветовой температура бодрящий",set,NULL
TS0505B_1,color_temp,neutral,"цвет нейтральный, цвет лояльный, цвет спокойный,цветовой температура нейтральный, цветовой температура лояльный, цветовой температура спокойный",set,NULL
TS0505B_1,color_temp,warm,"цвет теплый, цвет тепловатый, цвет летний, цветовой температура теплый, цветовой температура тепловатый, цветовой температура летний, цветовой температура знойный",set,NULL
TS0505B_1,color_temp,warmest,"цвет горячий, цвет жаркий, цвет пылкий, цветовой температура горячий, цветовой температура жгучий, цветовой температура жаркий, цветовой температура пылкий",set,NULL
TS0505B_1,effect,blink,"эффект мерцание, эффект мигать",set,NULL
TS0505B_1,effect,colorloop,"эффект цветной петля, эффект многоцветность",set,NULL
TS0505B_1,effect,stop_colorloop,"останавливать эффект цветной петля, остановить эффект цветной петля, закончить эффект цветной петля, завершить эффект цветной петля, окончить эффект цветной петля, остановить эффект цветной многоцветность, закончить эффект цветной многоцветность, завершить эффект многоцветность, окончить эффект многоцветность",set,NULL
TS0505B_1,do_not_disturb,ON,"не беспокоить,не мешать, не тревожить, не беспокоить врубать, не беспокоить запускать, не беспокоить активировать",set,NULL
TS0505B_1,do_not_disturb,OFF,"не беспокоить выключать, не беспокоить вырубать, не беспокоить отключать, не беспокоить завершать",set,NULL
TS0505B_1,color_power_on_behavior,initial,"исходный поведение включение, начальный поведение включение, первый поведение включение",set,NULL
TS0505B_1,color_power_on_behavior,previous,"предыдущий поведение включение, минувший поведение включение, прошлый поведение включение",set,NULL
TS0505B_1,color_power_on_behavior,customized,"персонализировать поведение",set,NULL
ZG-204ZL,sensitivity,low,"чувствительность низкий",set,NULL
ZG-204ZL,sensitivity,medium,"чувствительность средний",set,NULL
ZG-204ZL,sensitivity,high,"чувствительность высокий",set,NULL
ZG-204ZL,illuminance,NULL,"узнать освещенность, получить освещенность",get,NULL
ZG-204ZL,battery,NULL,"узнать заряд, получить заряд, сказать заряд",get,NULL
ZG-204ZL,sensitivity,NULL,"узнавать чувствительность, получать чувствительность, показание чувствительность",get,NULL
ZG-204ZL,keep_time,10,"задержка на десять, пауза на десять",set,NULL
ZG-204ZL,keep_time,30,"задержка на тридцать, пауза на тридцать",set,NULL
ZG-204ZL,keep_time,60,"задержка на шестьдесят, пауза на шестьдесят",set,NULL
ZG-204ZL,keep_time,120,"задержка на сто двадцать, пауза на сто двадцать",set,NULL
ZG-204ZL,keep_time,NULL,"узнать задержка, получить задержка",get,NULL
ZG-204ZL,illuminance_interval,"1-720","задать интервал определения яркости, установить интервал определения яркости",set,number
ZG-204ZL,illuminance_interval,NONE,"узнать интервал определения яркости, получить интервал определения яркости",get,NONE
ZG-204ZL,linkquality,NONE,"узнать качество связь, получить качество связь, взять качество связь",get,NONE
ZG-204ZL,occupancy,ON,"включить обнаружение, включать обнаружение, врубать обнаружение, запускать обнаружение,активировать обнаружение",set,NONE
ZG-204ZL,occupancy,OFF,"выключить обнаружение, выключать обнаружение, вырубать обнаружение, отключать обнаружение, завершать обнаружение",set,NONE
ZG-204ZL,sensitivity,NONE,"узнать чувствительность, получить чувствительность, получать чувствительность",get,NONE
ZNLDP12LM,state,NONE,"узнать состояние, получить состояние, получать состояние, взять состояние",get,NONE
ZNLDP12LM,brightness,"0-254","установить яркость, задать яркость, присвоить яркость",set,number
ZNLDP12LM,brightness,NONE,"узнать яркость, получить яркость, получать яркость",get,NONE
ZNLDP12LM,color_temp,NONE,"узнать цветовой температура, получить цветовой температура,получать цветовой температура, взять цветовой температура",get,NONE
ZNLDP12LM,power_outage_count,NONE,"количество отключение энергия",get,NONE
ZNLDP12LM,device_temperature,NONE,"температура девайс, температура устройство",get,NONE
ZNLDP12LM,linkquality,NONE,"узнать качество связь, получить качество связь, получать качество связь",get,NONE
TS0505B_1,state,NONE,"узнать состояние, получить состояние, получать состояние, взять состояние",get,NONE
TS0505B_1,brightness,"0-254","установить яркость, задать яркость, присвоить яркость",set,number
TS0505B_1,brightness,NONE,"узнать яркость, получить яркость, получать яркость, взять яркость",get,NONE
TS0505B_1,color_temp,NONE,"узнать цветовой температура, получить цветовой температура, получать цветовой температура, взять цветовой температура",get,NONE
TS0505B_1,effect,NONE,"узнать эффект, получить эффект, получать эффект, взять эффект",get,NONE
TS0505B_1,color_power_on_behavior,NONE,"получить поведение включение, получать поведение включение, узнать поведение включение",get,NONE
TS0505B_1,linkquality,NONE,"узнать качество связь, получить качество связь, получать качество связь",get,NONE
SRHMP-I1,warning$mode,stop,"режим стоп, режим остановка",set,NONE
SRHMP-I1,warning$mode,burglar,"режим взломщик, режим вор,режим бандит, режим грабитель",set,NONE
SRHMP-I1,warning$mode,fire,"режим огонь, режим пожар, режим пламень",set,NONE
SRHMP-I1,warning$mode,NONE,"получить режим, получать режим, взять режим, узнать режим",get,NONE
SRHMP-I1,warning$level,low,"низкий уровень громкости, маленький уровень громкости, минимальный уровень громкости",set,NONE
SRHMP-I1,warning$level,high,"высокий уровень громкости, завышенный уровень громкости",set,NONE
SRHMP-I1,warning$level,medium,"средний уровень громкости, умеренный уровень громкости",set,NONE
SRHMP-I1,warning$level,very_high,"очень высокий уровень громкости, максимальный уровень громкости, высоченный уровень громкости",set,NONE
SRHMP-I1,warning$level,NONE,"получить уровень громкости, получать уровень громкости, взять уровень громкости, узнать уровень громкости",get,NONE
SRHMP-I1,warning$strobe_duty_cycle,"0-10","мерцание, вспышка",set,number
SRHMP-I1,warning$strobe_duty_cycle,NONE,"длительность мерциние, длительность вспышка",get,NONE
SRHMP-I1,warning$duration,"0-9999","длительность",set,number
SRHMP-I1,warning$duration,NONE,"получать длительность, получить длительность, взять длительность, узнать длительность",get,NONE
SRHMP-I1,battery,NONE,"узнать заряд, получить заряд, получать заряд, взять заряд",get,NONE
SRHMP-I1,linkquality,NONE,"узнать качество связь, получить качество связь, получать качество связь, взять качество связь",get,NONE
DY-RQ500A,gas,NONE,"есть газ, утечка газ, наличие газ",get,NONE
DY-RQ500A,gas_value,NONE,"уровень газ",get,NONE
DY-RQ500A,self_test,ON,"включить тестирование,включать тестирование, врубать тестирование, запускать тестирование, активировать тестирование",set,NONE
DY-RQ500A,self_test,OFF,"выключить тестирование, выключать тестирование, вырубать тестирование, отключать тестирование, завершать тестирование",set,NONE
DY-RQ500A,self_test_result,NONE,"результат диагностика, итог диагностика, значение диагностика",get,NONE
DY-RQ500A,silence,ON,"включить тишина, включать тишина, врубать тишина, запускать тишина,активировать тишина",set,NONE
DY-RQ500A,silence,OFF,"выключить тишина, выключать тишина, вырубать тишина, отключать тишина, завершать тишина",set,NONE
DY-RQ500A,alarm_ringtone,melody_1,"включить мелодия один, включать мелодия один, установить мелодия один, задать мелодия один",set,NONE
DY-RQ500A,alarm_ringtone,melody,"получать мелодия, получить мелодия, взять мелодия, узнать мелодия",get,NONE
DY-RQ500A,alarm_time,"1-180","включить длительность, включать длительность, задать длительность, установить длительность, присвоить длительность",set,number
DY-RQ500A,alarm_time,NONE,"узнать длительность, получить длительность, получать длительность, взять длительность",get,NONE
DY-RQ500A,preheat,NONE,"нагрев узнать, нагрев получить, нагрев получать",get,NONE
DY-RQ500A,linkquality,NONE,"узнать качество связь, получить качество связь, получать качество связь, взять качество связь",get,NONE
TS0505B_1,do_not_disturb,ON,"не беспокоить,не мешать, не тревожить, не беспокоить врубать, не беспокоить запускать, не беспокоить активировать",set,NONE
TS0505B_1,do_not_disturb,OFF,"не беспокоить выключить, не беспокоить выключать, не беспокоить вырубать, не беспокоить отключать, не беспокоить завершать",set,NONE
DY-RQ500A,alarm_ringtone,melody_2,"включить мелодия два, включать мелодия два, установить мелодия два, задать мелодия два",set,NONE
DY-RQ500A,alarm_ringtone,melody_3,"включить мелодия три, включать мелодия три, установить мелодия три, задать мелодия три",set,NONE
DY-RQ500A,alarm_ringtone,melody_4,"включить мелодия четыре, включать мелодия четыре, установить мелодия четыре, задать мелодия четыре",set,NONE
DY-RQ500A,alarm_ringtone,melody_5,"включить мелодия пять, включать мелодия пять, установить мелодия пять, задать мелодия пять",set,NONE
