;query;result
0;установить свет;Лампочка, Включить
1;лампа пустить в ход;Лампочка, Включить
2;пустить в ход светодиод;Лампочка, Включить
3;светильник включить;Лампочка, Включить
4;осветительный прибор включить;Лампочка, Включить
5;подключить электролампа;Лампочка, Включить
6;осветительный прибор привести в действие;Лампочка, Включить
7;пустить в ход лампа;Лампочка, Включить
8;пустить в ход осветительный прибор;Лампочка, Включить
9;светодиод оснастить;Лампочка, Включить
10;светодиод активировать;Лампочка, Включить
11;лампа включить;Лампочка, Включить
12;электролампа запустить;Лампочка, Включить
13;пустить в ход свет;Лампочка, Включить
14;оснастить светильник;Лампочка, Включить
15;установить светильник;Лампочка, Включить
16;осветительный прибор активировать;Лампочка, Включить
17;свет привести в действие;Лампочка, Включить
18;запустить светильник;Лампочка, Включить
19;свет включить;Лампочка, Включить
20;лампа активировать;Лампочка, Включить
21;активировать электролампа;Лампочка, Включить
22;электролампа подключить;Лампочка, Включить
23;осветительный прибор подключить;Лампочка, Включить
24;снабдить светильник;Лампочка, Включить
25;оснастить свет;Лампочка, Включить
26;ввести в действие светильник;Лампочка, Включить
27;привести в действие электролампа;Лампочка, Включить
28;задействовать электролампа;Лампочка, Включить
29;ввести в действие светодиод;Лампочка, Включить
30;свет подключить;Лампочка, Включить
31;установить лампа;Лампочка, Включить
32;активировать лампа;Лампочка, Включить
33;снабдить лампа;Лампочка, Включить
34;оснастить осветительный прибор;Лампочка, Включить
35;привести в действие осветительный прибор;Лампочка, Включить
36;лампа установить;Лампочка, Включить
37;включить лампа;Лампочка, Включить
38;осветительный прибор пустить в ход;Лампочка, Включить
39;включить светодиод;Лампочка, Включить
40;привести в действие светильник;Лампочка, Включить
41;ввести в действие электролампа;Лампочка, Включить
42;оснастить светодиод;Лампочка, Включить
43;задействовать светодиод;Лампочка, Включить
44;электролампа установить;Лампочка, Включить
45;светодиод пустить в ход;Лампочка, Включить
46;светильник запустить;Лампочка, Включить
47;свет задействовать;Лампочка, Включить
48;ввести в действие свет;Лампочка, Включить
49;светильник подключить;Лампочка, Включить
50;электролампа активировать;Лампочка, Включить
51;светильник задействовать;Лампочка, Включить
52;светодиод привести в действие;Лампочка, Включить
53;подключить светильник;Лампочка, Включить
54;подключить лампа;Лампочка, Включить
55;активировать осветительный прибор;Лампочка, Включить
56;привести в действие свет;Лампочка, Включить
57;осветительный прибор оснастить;Лампочка, Включить
58;светодиод ввести в действие;Лампочка, Включить
59;электролампа пустить в ход;Лампочка, Включить
60;светодиод снабдить;Лампочка, Включить
61;снабдить светодиод;Лампочка, Включить
62;лампа оснастить;Лампочка, Включить
63;свет оснастить;Лампочка, Включить
64;установить осветительный прибор;Лампочка, Включить
65;лампа ввести в действие;Лампочка, Включить
66;запустить свет;Лампочка, Включить
67;пустить в ход электролампа;Лампочка, Включить
68;осветительный прибор запустить;Лампочка, Включить
69;светильник пустить в ход;Лампочка, Включить
70;установить светодиод;Лампочка, Включить
71;электролампа привести в действие;Лампочка, Включить
72;включить электролампа;Лампочка, Включить
73;активировать светодиод;Лампочка, Включить
74;ввести в действие осветительный прибор;Лампочка, Включить
75;лампа задействовать;Лампочка, Включить
76;снабдить электролампа;Лампочка, Включить
77;осветительный прибор задействовать;Лампочка, Включить
78;задействовать лампа;Лампочка, Включить
79;светильник привести в действие;Лампочка, Включить
80;включить светильник;Лампочка, Включить
81;запустить осветительный прибор;Лампочка, Включить
82;светодиод запустить;Лампочка, Включить
83;электролампа ввести в действие;Лампочка, Включить
84;лампа снабдить;Лампочка, Включить
85;светильник снабдить;Лампочка, Включить
86;свет запустить;Лампочка, Включить
87;светодиод установить;Лампочка, Включить
88;привести в действие светодиод;Лампочка, Включить
89;оснастить лампа;Лампочка, Включить
90;осветительный прибор снабдить;Лампочка, Включить
91;запустить светодиод;Лампочка, Включить
92;активировать свет;Лампочка, Включить
93;установить электролампа;Лампочка, Включить
94;светильник ввести в действие;Лампочка, Включить
95;свет ввести в действие;Лампочка, Включить
96;пустить в ход светильник;Лампочка, Включить
97;запустить электролампа;Лампочка, Включить
98;снабдить свет;Лампочка, Включить
99;свет активировать;Лампочка, Включить
100;электролампа снабдить;Лампочка, Включить
101;осветительный прибор установить;Лампочка, Включить
102;ввести в действие лампа;Лампочка, Включить
103;включить свет;Лампочка, Включить
104;лампа подключить;Лампочка, Включить
105;свет пустить в ход;Лампочка, Включить
106;подключить осветительный прибор;Лампочка, Включить
107;задействовать светильник;Лампочка, Включить
108;включить осветительный прибор;Лампочка, Включить
109;светильник активировать;Лампочка, Включить
110;светодиод подключить;Лампочка, Включить
111;снабдить осветительный прибор;Лампочка, Включить
112;привести в действие лампа;Лампочка, Включить
113;подключить светодиод;Лампочка, Включить
114;электролампа включить;Лампочка, Включить
115;электролампа задействовать;Лампочка, Включить
116;светодиод включить;Лампочка, Включить
117;запустить лампа;Лампочка, Включить
118;задействовать свет;Лампочка, Включить
119;светодиод задействовать;Лампочка, Включить
120;задействовать осветительный прибор;Лампочка, Включить
121;лампа запустить;Лампочка, Включить
122;осветительный прибор ввести в действие;Лампочка, Включить
123;светильник оснастить;Лампочка, Включить
124;свет установить;Лампочка, Включить
125;оснастить электролампа;Лампочка, Включить
126;свет снабдить;Лампочка, Включить
127;активировать светильник;Лампочка, Включить
128;электролампа оснастить;Лампочка, Включить
129;лампа привести в действие;Лампочка, Включить
130;подключить свет;Лампочка, Включить
131;светильник установить;Лампочка, Включить
132;электролампа прибить;Лампочка, Выключить
133;погасить электролампа;Лампочка, Выключить
134;затушить свет;Лампочка, Выключить
135;выключать светодиод;Лампочка, Выключить
136;лампа прибить;Лампочка, Выключить
137;осветительный прибор затушить;Лампочка, Выключить
138;светодиод отключить;Лампочка, Выключить
139;лампа потушить;Лампочка, Выключить
140;светильник потушить;Лампочка, Выключить
141;светодиод затушить;Лампочка, Выключить
142;светодиод угасить;Лампочка, Выключить
143;светильник перекрыть;Лампочка, Выключить
144;светильник затушить;Лампочка, Выключить
145;прибить светильник;Лампочка, Выключить
146;выключать светильник;Лампочка, Выключить
147;перекрыть светодиод;Лампочка, Выключить
148;перекрыть светильник;Лампочка, Выключить
149;отключить свет;Лампочка, Выключить
150;лампа остановить;Лампочка, Выключить
151;остановить осветительный прибор;Лампочка, Выключить
152;угасить светодиод;Лампочка, Выключить
153;прибить лампа;Лампочка, Выключить
154;отключить осветительный прибор;Лампочка, Выключить
155;угасить лампа;Лампочка, Выключить
156;электролампа затушить;Лампочка, Выключить
157;осветительный прибор угасить;Лампочка, Выключить
158;осветительный прибор перекрыть;Лампочка, Выключить
159;прибить осветительный прибор;Лампочка, Выключить
160;лампа угасить;Лампочка, Выключить
161;выключать свет;Лампочка, Выключить
162;угасить свет;Лампочка, Выключить
163;угасить электролампа;Лампочка, Выключить
164;потушить электролампа;Лампочка, Выключить
165;остановить светодиод;Лампочка, Выключить
166;свет затушить;Лампочка, Выключить
167;лампа отключить;Лампочка, Выключить
168;выключать лампа;Лампочка, Выключить
169;перекрыть электролампа;Лампочка, Выключить
170;светодиод прибить;Лампочка, Выключить
171;светодиод погасить;Лампочка, Выключить
172;светильник погасить;Лампочка, Выключить
173;светодиод перекрыть;Лампочка, Выключить
174;электролампа потушить;Лампочка, Выключить
175;отключить светильник;Лампочка, Выключить
176;перекрыть лампа;Лампочка, Выключить
177;затушить лампа;Лампочка, Выключить
178;лампа перекрыть;Лампочка, Выключить
179;затушить электролампа;Лампочка, Выключить
180;лампа затушить;Лампочка, Выключить
181;затушить светильник;Лампочка, Выключить
182;электролампа отключить;Лампочка, Выключить
183;потушить светодиод;Лампочка, Выключить
184;остановить свет;Лампочка, Выключить
185;лампа погасить;Лампочка, Выключить
186;выключать электролампа;Лампочка, Выключить
187;свет перекрыть;Лампочка, Выключить
188;остановить лампа;Лампочка, Выключить
189;перекрыть осветительный прибор;Лампочка, Выключить
190;электролампа перекрыть;Лампочка, Выключить
191;осветительный прибор прибить;Лампочка, Выключить
192;прибить свет;Лампочка, Выключить
193;электролампа остановить;Лампочка, Выключить
194;светильник остановить;Лампочка, Выключить
195;осветительный прибор выключать;Лампочка, Выключить
196;потушить осветительный прибор;Лампочка, Выключить
197;отключить светодиод;Лампочка, Выключить
198;прибить электролампа;Лампочка, Выключить
199;потушить свет;Лампочка, Выключить
200;выключать осветительный прибор;Лампочка, Выключить
201;остановить электролампа;Лампочка, Выключить
202;лампа выключать;Лампочка, Выключить
203;погасить осветительный прибор;Лампочка, Выключить
204;светильник прибить;Лампочка, Выключить
205;угасить светильник;Лампочка, Выключить
206;затушить осветительный прибор;Лампочка, Выключить
207;прибить светодиод;Лампочка, Выключить
208;светильник угасить;Лампочка, Выключить
209;свет остановить;Лампочка, Выключить
210;погасить светодиод;Лампочка, Выключить
211;остановить светильник;Лампочка, Выключить
212;электролампа выключать;Лампочка, Выключить
213;светильник отключить;Лампочка, Выключить
214;затушить светодиод;Лампочка, Выключить
215;осветительный прибор погасить;Лампочка, Выключить
216;электролампа угасить;Лампочка, Выключить
217;свет угасить;Лампочка, Выключить
218;светодиод остановить;Лампочка, Выключить
219;погасить лампа;Лампочка, Выключить
220;свет выключать;Лампочка, Выключить
221;погасить свет;Лампочка, Выключить
222;свет прибить;Лампочка, Выключить
223;осветительный прибор потушить;Лампочка, Выключить
224;потушить лампа;Лампочка, Выключить
225;свет погасить;Лампочка, Выключить
226;светильник выключать;Лампочка, Выключить
227;погасить светильник;Лампочка, Выключить
228;свет отключить;Лампочка, Выключить
229;отключить лампа;Лампочка, Выключить
230;угасить осветительный прибор;Лампочка, Выключить
231;светодиод потушить;Лампочка, Выключить
232;осветительный прибор остановить;Лампочка, Выключить
233;перекрыть свет;Лампочка, Выключить
234;электролампа погасить;Лампочка, Выключить
235;свет потушить;Лампочка, Выключить
236;светодиод выключать;Лампочка, Выключить
237;потушить светильник;Лампочка, Выключить
238;отключить электролампа;Лампочка, Выключить
239;осветительный прибор отключить;Лампочка, Выключить
240;электролампа добавить;Лампочка, Увеличить
241;повысить свет;Лампочка, Увеличить
242;нарастить лампа;Лампочка, Увеличить
243;добавить светодиод;Лампочка, Увеличить
244;осветительный прибор усилить;Лампочка, Увеличить
245;светильник добавить;Лампочка, Увеличить
246;лампа добавить;Лампочка, Увеличить
247;добавить осветительный прибор;Лампочка, Увеличить
248;повысить лампа;Лампочка, Увеличить
249;нарастить светодиод;Лампочка, Увеличить
250;повысить электролампа;Лампочка, Увеличить
251;светодиод нарастить;Лампочка, Увеличить
252;повысить светодиод;Лампочка, Увеличить
253;усилить осветительный прибор;Лампочка, Увеличить
254;светодиод усилить;Лампочка, Увеличить
255;осветительный прибор нарастить;Лампочка, Увеличить
256;нарастить свет;Лампочка, Увеличить
257;светодиод повысить;Лампочка, Увеличить
258;усилить свет;Лампочка, Увеличить
259;лампа нарастить;Лампочка, Увеличить
260;электролампа нарастить;Лампочка, Увеличить
261;добавить лампа;Лампочка, Увеличить
262;свет нарастить;Лампочка, Увеличить
263;усилить электролампа;Лампочка, Увеличить
264;свет усилить;Лампочка, Увеличить
265;нарастить осветительный прибор;Лампочка, Увеличить
266;лампа усилить;Лампочка, Увеличить
267;свет добавить;Лампочка, Увеличить
268;повысить светильник;Лампочка, Увеличить
269;добавить свет;Лампочка, Увеличить
270;нарастить электролампа;Лампочка, Увеличить
271;повысить осветительный прибор;Лампочка, Увеличить
272;светодиод добавить;Лампочка, Увеличить
273;нарастить светильник;Лампочка, Увеличить
274;лампа повысить;Лампочка, Увеличить
275;свет повысить;Лампочка, Увеличить
276;усилить светильник;Лампочка, Увеличить
277;добавить электролампа;Лампочка, Увеличить
278;усилить светодиод;Лампочка, Увеличить
279;электролампа усилить;Лампочка, Увеличить
280;осветительный прибор повысить;Лампочка, Увеличить
281;светильник нарастить;Лампочка, Увеличить
282;добавить светильник;Лампочка, Увеличить
283;осветительный прибор добавить;Лампочка, Увеличить
284;усилить лампа;Лампочка, Увеличить
285;электролампа повысить;Лампочка, Увеличить
286;светильник повысить;Лампочка, Увеличить
287;светильник усилить;Лампочка, Увеличить
288;приглушить лампа;Лампочка, Уменьшить
289;осветительный прибор ослабить;Лампочка, Уменьшить
290;лампа уменьшить;Лампочка, Уменьшить
291;лампа снизить;Лампочка, Уменьшить
292;светильник уменьшить;Лампочка, Уменьшить
293;ослабить светодиод;Лампочка, Уменьшить
294;понизить лампа;Лампочка, Уменьшить
295;понизить свет;Лампочка, Уменьшить
296;лампа приглушить;Лампочка, Уменьшить
297;светодиод приглушить;Лампочка, Уменьшить
298;осветительный прибор уменьшить;Лампочка, Уменьшить
299;понизить электролампа;Лампочка, Уменьшить
300;приглушить светодиод;Лампочка, Уменьшить
301;светильник снизить;Лампочка, Уменьшить
302;снизить лампа;Лампочка, Уменьшить
303;осветительный прибор приглушить;Лампочка, Уменьшить
304;приглушить осветительный прибор;Лампочка, Уменьшить
305;снизить осветительный прибор;Лампочка, Уменьшить
306;светильник ослабить;Лампочка, Уменьшить
307;светодиод ослабить;Лампочка, Уменьшить
308;понизить светодиод;Лампочка, Уменьшить
309;светильник понизить;Лампочка, Уменьшить
310;приглушить свет;Лампочка, Уменьшить
311;ослабить свет;Лампочка, Уменьшить
312;свет ослабить;Лампочка, Уменьшить
313;уменьшить лампа;Лампочка, Уменьшить
314;свет понизить;Лампочка, Уменьшить
315;светодиод уменьшить;Лампочка, Уменьшить
316;уменьшить свет;Лампочка, Уменьшить
317;уменьшить светильник;Лампочка, Уменьшить
318;светодиод понизить;Лампочка, Уменьшить
319;ослабить электролампа;Лампочка, Уменьшить
320;электролампа приглушить;Лампочка, Уменьшить
321;уменьшить электролампа;Лампочка, Уменьшить
322;снизить светильник;Лампочка, Уменьшить
323;электролампа снизить;Лампочка, Уменьшить
324;светодиод снизить;Лампочка, Уменьшить
325;снизить свет;Лампочка, Уменьшить
326;свет уменьшить;Лампочка, Уменьшить
327;понизить осветительный прибор;Лампочка, Уменьшить
328;свет снизить;Лампочка, Уменьшить
329;осветительный прибор понизить;Лампочка, Уменьшить
330;электролампа понизить;Лампочка, Уменьшить
331;лампа ослабить;Лампочка, Уменьшить
332;светильник приглушить;Лампочка, Уменьшить
333;приглушить светильник;Лампочка, Уменьшить
334;приглушить электролампа;Лампочка, Уменьшить
335;лампа понизить;Лампочка, Уменьшить
336;электролампа ослабить;Лампочка, Уменьшить
337;осветительный прибор снизить;Лампочка, Уменьшить
338;свет приглушить;Лампочка, Уменьшить
339;ослабить лампа;Лампочка, Уменьшить
340;ослабить светильник;Лампочка, Уменьшить
341;уменьшить осветительный прибор;Лампочка, Уменьшить
342;снизить электролампа;Лампочка, Уменьшить
343;электролампа уменьшить;Лампочка, Уменьшить
344;ослабить осветительный прибор;Лампочка, Уменьшить
345;снизить светодиод;Лампочка, Уменьшить
346;понизить светильник;Лампочка, Уменьшить
347;уменьшить светодиод;Лампочка, Уменьшить
348;свет поменять;Лампочка, Изменить
349;установить свет;Лампочка, Изменить
350;переключить светильник;Лампочка, Изменить
351;электролампа установить;Лампочка, Изменить
352;свет варьировать;Лампочка, Изменить
353;переключить осветительный прибор;Лампочка, Изменить
354;светодиод поставить;Лампочка, Изменить
355;светильник варьировать;Лампочка, Изменить
356;установить светодиод;Лампочка, Изменить
357;электролампа сменить;Лампочка, Изменить
358;осветительный прибор установить;Лампочка, Изменить
359;переключить светодиод;Лампочка, Изменить
360;осветительный прибор переключить;Лампочка, Изменить
361;светильник переключить;Лампочка, Изменить
362;установить светильник;Лампочка, Изменить
363;лампа поменять;Лампочка, Изменить
364;поменять свет;Лампочка, Изменить
365;лампа варьировать;Лампочка, Изменить
366;варьировать светодиод;Лампочка, Изменить
367;сменить свет;Лампочка, Изменить
368;переключить электролампа;Лампочка, Изменить
369;сменить светодиод;Лампочка, Изменить
370;светодиод переключить;Лампочка, Изменить
371;лампа сменить;Лампочка, Изменить
372;светильник поменять;Лампочка, Изменить
373;электролампа поменять;Лампочка, Изменить
374;светодиод сменить;Лампочка, Изменить
375;электролампа переключить;Лампочка, Изменить
376;электролампа варьировать;Лампочка, Изменить
377;поменять светодиод;Лампочка, Изменить
378;светильник сменить;Лампочка, Изменить
379;поставить осветительный прибор;Лампочка, Изменить
380;поменять светильник;Лампочка, Изменить
381;светодиод поменять;Лампочка, Изменить
382;осветительный прибор сменить;Лампочка, Изменить
383;поставить светодиод;Лампочка, Изменить
384;поставить электролампа;Лампочка, Изменить
385;сменить электролампа;Лампочка, Изменить
386;переключить лампа;Лампочка, Изменить
387;сменить осветительный прибор;Лампочка, Изменить
388;осветительный прибор поставить;Лампочка, Изменить
389;варьировать свет;Лампочка, Изменить
390;свет установить;Лампочка, Изменить
391;свет поставить;Лампочка, Изменить
392;поменять лампа;Лампочка, Изменить
393;поставить лампа;Лампочка, Изменить
394;лампа переключить;Лампочка, Изменить
395;варьировать светильник;Лампочка, Изменить
396;светодиод варьировать;Лампочка, Изменить
397;светильник поставить;Лампочка, Изменить
398;сменить лампа;Лампочка, Изменить
399;светодиод установить;Лампочка, Изменить
400;поставить светильник;Лампочка, Изменить
401;установить осветительный прибор;Лампочка, Изменить
402;установить лампа;Лампочка, Изменить
403;поменять осветительный прибор;Лампочка, Изменить
404;свет сменить;Лампочка, Изменить
405;переключить свет;Лампочка, Изменить
406;лампа установить;Лампочка, Изменить
407;варьировать лампа;Лампочка, Изменить
408;лампа поставить;Лампочка, Изменить
409;установить электролампа;Лампочка, Изменить
410;осветительный прибор поменять;Лампочка, Изменить
411;электролампа поставить;Лампочка, Изменить
412;поставить свет;Лампочка, Изменить
413;поменять электролампа;Лампочка, Изменить
414;варьировать осветительный прибор;Лампочка, Изменить
415;варьировать электролампа;Лампочка, Изменить
416;свет переключить;Лампочка, Изменить
417;осветительный прибор варьировать;Лампочка, Изменить
418;светильник установить;Лампочка, Изменить
419;сменить светильник;Лампочка, Изменить
420;снабдить стереоцентр;Стереосистема, Включить
421;ввести в действие аудиосистема;Стереосистема, Включить
422;музыкальный центр задействовать;Стереосистема, Включить
423;музыкальный центр активировать;Стереосистема, Включить
424;музыкальный центр включить;Стереосистема, Включить
425;установить музыкальный центр;Стереосистема, Включить
426;пустить в ход аудиоцентр;Стереосистема, Включить
427;подключить музыкальная система;Стереосистема, Включить
428;подключить стереоцентр;Стереосистема, Включить
429;оснастить музыкальный центр;Стереосистема, Включить
430;аудиоцентр включить;Стереосистема, Включить
431;стереоустановка подключить;Стереосистема, Включить
432;установить звуковой центр;Стереосистема, Включить
