device,name,value,synonyms
ZNLDP12LM,state,ON,"включать, врубать, запускать, активировать, замыкать"
ZNLDP12LM,state,OFF,"выключать, отключать, погасить, завершать, отсоединять"
ZNLDP12LM,color_temp,coolest,"холодный, ледяной, морозный"
ZNLDP12LM,color_temp,cool,"прохладный, свежий, бодрящий"
ZNLDP12LM,color_temp,neutral,"нейтральный, лояльный, спокойный"
ZNLDP12LM,color_temp,warmest,"горячий, жаркий, жгучий, пылкий"
ZNLDP12LM,power_outage_memory,ON,"включать, врубать, запускать, активировать, замыкать"
ZNLDP12LM,power_outage_memory,OFF,"выключать, отключать, погасить, завершать, отсоединять"
TS0505B_1,state,ON,"включать, врубать, запускать, активировать, замыкать"
TS0505B_1,state,OFF,"выключать, отключать, погасить, завершать, отсоединять"
TS0505B_1,color_temp,coolest,"холодный, ледяной, морозный"
TS0505B_1,color_temp,cool,"прохладный, свежий, бодрящий"
TS0505B_1,color_temp,neutral,"нейтральный, лояльный, спокойный"
TS0505B_1,color_temp,warm,"теплый, тепловатый, летний, знойный"
TS0505B_1,color_temp,warmest,"горячий, жаркий, жгучий, пылкий"
TS0505B_1,effect,blink,"мерцать, светиться, мигать, полыхать"
TS0505B_1,effect,breathe,"дышать, вдыхать, вздыхать, дыхание, бриз"
TS0505B_1,effect,okay,"окей, хорошо, ладно, круто, ясно"
TS0505B_1,effect,channel_change,"изменение канал, переключение канал, преобразование канал, трансформация канал"
TS0505B_1,effect,finish_effect,"завершить эффект, закончить эффект, окончить эффект, кончить эффект, завершить, закончить, окончить, кончить"
TS0505B_1,effect,stop_effect,"останавливать эффект, придерживать эффект, приостанавливать эффект, задерживать эффект, останавливать, приостанавливать, задерживать"
TS0505B_1,effect,colorloop,"цветной петля, разноцветность, многоцветность"
TS0505B_1,effect,stop_colorloop,"остановить цветной цикл, закончить цветной цикл, завершить цветной цикл, окончить, цветной цикл"
TS0505B_1,do_not_disturb,ON,"включать, врубать, запускать, активировать, замыкать"
TS0505B_1,do_not_disturb,OFF,"выключать, отключать, погасить, завершать, отсоединять"
TS0505B_1,color_power_on_behavior,initial,"исходный, начальный, отправной, первый, стартовый"
TS0505B_1,color_power_on_behavior,previous,"предыдущий, минувший, бывший, прежний, ранний, прошлый"
TS0505B_1,color_power_on_behavior,customized,"персонализировать, ранжировать, стандартизовать, изменять, персональный, необычный"
ZG-204ZL,sensitivity,low,"низкий, пониженный, занижать, приземистый"
ZG-204ZL,sensitivity,medium,"средний, умеренный, неприметный, посредственный"
ZG-204ZL,sensitivity,high,"высокий, завышенный, высоченный, максимальный"
SRHMP-I1,warning,mode,"режим, мера, положение, вариант, функция"
SRHMP-I1,warning,level,"уровень, ярус, степень, показатель, величина, ранг"
